# Here we have digitized the UL of the 7yr PS HPA.
# We used Fig. 10 from the PS paper arXiv:1609.04981
1.0056734908643747, 2.176625494103972e-12
1.178292385803113, 1.9726956190798172e-12
1.412138032593683, 1.7878721057334151e-12
1.654524561523438, 1.6203648629537081e-12
2.0054475231252433, 1.4685515147728763e-12
2.403451599872398, 1.2986276520593358e-12
3.013807290487715, 1.1483654211163106e-12
3.999130736311271, 9.66749044866469e-13
4.902500994260376, 8.548879829113236e-13
6.078323128297225, 7.55970194340491e-13
8.020046829789472, 6.442861145875708e-13
9.776243050424021, 5.767859678508311e-13
12.258916543404512, 4.976559936606772e-13
15.993046646109539, 4.293819576596349e-13
20.282678518728787, 3.7505831520164595e-13
25.005434078966417, 3.3576445066267256e-13
31.892275251384003, 2.96913656635666e-13
38.875911937379215, 2.6909556617651606e-13
47.65765599890755, 2.4388377603228563e-13
63.9582844097166, 2.1042506174570213e-13
77.52377089809004, 1.907101605557681e-13
100.56734908643745, 1.686433778693143e-13
127.54137820870915, 1.52843037817386e-13
158.1310661412437, 1.3515780232272325e-13
196.05742410943228, 1.2249475403496129e-13
255.77754102463558, 1.083210723095475e-13
326.22220097116667, 9.3460371575023e-14
399.913073631127, 8.470399067870741e-14
512.9484361189207, 7.308334633261885e-14
657.9332246575676, 6.305695243371973e-14
806.554849221014, 5.576072835121728e-14
1022.8878259697381, 4.752285643658265e-14
1297.245321291704, 3.951807013271874e-14
1590.2822130036986, 3.409653763375988e-14
2039.775211000984, 2.800676951667517e-14
