# Here we have digitized Fig. 5.4 of Stefans Diss.
# For each threshold we will give the histogram points.
# Threshold: 4.50
# nSpots, rel counts
0.4858299595144331, 0.028776978417249133
1.4574898785427841, 0.14388489208631583
2.5263157894739727, 0.40767386091125957
3.49797570850232, 0.6474820143884812
4.469635627530675, 0.901678657074336
5.441295546559022, 0.8441247002398029
6.510121457490204, 0.7817745803357252
7.481781376518558, 0.4892086330935148
8.55060728744974, 0.402877697841715
9.522267206478094, 0.1822541966426714
10.493927125506449, 0.1247002398081376
11.465587044534796, 0.023980815347704798
12.437246963563151, 0.023980815347704798
13.50607287449434, 0.004796163069527459
14.47773279352268, 0.004796163069527459
